custAge,profession,marital,schooling,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,pmonths,pastEmail,responded,profit,market_to
42.0,admin.,married,professional.course,no,yes,no,cellular,may,mon,3,9,2,failure,-1.8,92.89299999999999,-46.2,1.354,5099.1,0.3,8,0.14094887885887136,399.6722002524193,1
53.0,entrepreneur,married,basic.4y,unknown,yes,no,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999.0,0,0.030674001582749487,232.89179243587773,0
28.0,blue-collar,single,,no,yes,no,cellular,may,wed,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,999.0,0,0.09618185533893078,409.40805245523075,1
,services,single,high.school,no,yes,no,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999.0,0,0.04050317975396838,421.5974192263568,0
,student,single,high.school,no,yes,no,telephone,may,thu,6,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.266,5099.1,999.0,0,0.06615958955218501,418.98495659861214,0
,admin.,single,high.school,no,no,no,cellular,jul,wed,5,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,999.0,0,0.046378968973112195,410.88386021564406,0
44.0,technician,married,professional.course,no,no,no,cellular,aug,wed,9,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,999.0,0,0.039275430057673734,392.13699451148045,0
58.0,admin.,married,,unknown,yes,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,0.02783184367172061,203.59027734781625,0
57.0,services,divorced,,unknown,yes,no,telephone,jun,mon,4,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,999.0,0,0.04023452950322236,207.6397768298118,0
,admin.,divorced,university.degree,unknown,yes,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,0.02701418270173384,154.0220977110614,0
,management,married,professional.course,no,unknown,unknown,cellular,may,fri,3,999,1,failure,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,999.0,2,0.0629441977880341,400.0448224491008,0
31.0,technician,single,university.degree,no,yes,no,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,999.0,0,0.04237312070679736,373.9075013419831,0
30.0,services,single,university.degree,no,yes,no,cellular,nov,,3,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,999.0,0,0.04854235448825134,354.52947331004066,0
31.0,services,divorced,high.school,unknown,no,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,999.0,0,0.07756083157684991,195.93126116882308,0
50.0,self-employed,married,,no,yes,yes,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,999.0,0,0.02676788140266039,167.11585621539712,0
32.0,technician,married,,no,yes,no,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,999.0,0,0.0421963177737919,386.46746154367406,0
53.0,management,married,university.degree,no,yes,yes,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,999.0,0,0.048330697035609625,136.14105006691057,0
29.0,technician,married,,no,no,no,cellular,apr,mon,3,999,1,failure,-1.8,93.749,-34.6,0.645,5008.7,999.0,1,0.24262580975925896,375.12185864043454,1
,admin.,divorced,high.school,no,no,no,telephone,jun,,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999.0,0,0.03652052957952576,416.7242789299628,0
48.0,admin.,divorced,university.degree,no,no,no,cellular,may,mon,5,999,1,failure,-1.8,92.89299999999999,-46.2,1.244,5099.1,999.0,0,0.07175204351992429,389.90364841742235,1
45.0,blue-collar,divorced,professional.course,unknown,yes,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,999.0,0,0.036567798212801025,175.47451479393976,0
46.0,admin.,married,high.school,no,yes,no,cellular,jul,mon,11,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,999.0,0,0.047127982911258894,420.655477606105,0
,blue-collar,married,basic.9y,unknown,no,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,0.030147521547471433,184.78693005156242,0
30.0,admin.,single,university.degree,no,yes,no,telephone,oct,thu,4,999,0,nonexistent,-3.4,92.431,-26.9,0.733,5017.5,999.0,0,0.14173015733158592,363.08255115464135,1
,blue-collar,married,basic.4y,no,yes,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,0.02860195561222536,406.9424563915361,0
,retired,married,university.degree,no,no,yes,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,999.0,0,0.4119158895971101,136.43491005257647,1
40.0,management,married,,no,yes,no,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999.0,0,0.03983822204318222,387.031054270494,0
53.0,services,married,high.school,no,no,no,telephone,jul,mon,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,999.0,0,0.04047045985790039,417.0761117998502,0
35.0,admin.,divorced,university.degree,no,yes,no,cellular,nov,fri,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,999.0,0,0.050359664375730064,367.09635851746293,0
,housemaid,married,university.degree,no,no,no,cellular,jun,tue,1,999,0,nonexistent,-2.9,92.963,-40.8,1.099,5076.2,999.0,0,0.274812751567255,390.36242436242924,1
,services,single,high.school,no,yes,no,cellular,jun,mon,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,999.0,0,0.3589958404844022,427.178044053446,1
45.0,services,married,basic.4y,no,no,no,telephone,jul,tue,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,999.0,0,0.03837627525654366,393.64927378170455,0
,admin.,married,,no,no,no,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,999.0,0,0.036727159629228505,411.97272929705446,0
,blue-collar,married,basic.9y,no,yes,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,999.0,0,0.09580299536323128,388.1388050176479,1
,admin.,married,high.school,no,yes,no,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,999.0,0,0.04028765029233763,419.86906743442546,0
27.0,services,single,professional.course,no,yes,no,cellular,jun,tue,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,999.0,0,0.2779881235096859,362.7262823645599,1
,blue-collar,single,,unknown,unknown,unknown,telephone,jun,fri,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,999.0,0,0.03808059695551569,175.7980259262647,0
25.0,student,single,high.school,no,no,no,telephone,may,mon,6,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.244,5099.1,999.0,0,0.06436260816056931,417.08554610208876,0
36.0,technician,married,,no,yes,no,cellular,jul,,3,999,0,nonexistent,-2.9,92.469,-33.6,1.0290000000000001,5076.2,999.0,0,0.27546703232805014,373.48755792656584,1
31.0,technician,married,high.school,no,yes,no,telephone,jul,fri,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.959,5228.1,999.0,0,0.04219906875576974,405.7521207216648,0
30.0,admin.,married,high.school,no,no,no,cellular,jul,mon,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,999.0,0,0.0566534292019274,408.17963761782426,0
27.0,blue-collar,single,basic.9y,no,yes,no,cellular,may,tue,2,999,1,failure,-1.8,92.89299999999999,-46.2,1.291,5099.1,999.0,2,0.060750820319903524,393.4894884978387,0
45.0,blue-collar,married,basic.4y,no,no,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,999.0,0,0.030621012756084445,406.6853619659307,0
36.0,services,single,high.school,no,no,no,cellular,jul,mon,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,999.0,0,0.05350873755756288,407.7671371465533,0
73.0,retired,divorced,high.school,no,yes,no,cellular,dec,tue,1,999,0,nonexistent,-3.0,92.713,-33.0,0.7070000000000001,5023.5,999.0,0,0.5319955982380805,495.9606324057502,1
36.0,admin.,single,university.degree,no,yes,yes,telephone,jul,,8,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.968,5228.1,999.0,0,0.041171675773450586,94.59275537750568,0
,management,single,university.degree,unknown,yes,no,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,999.0,0,0.031199877617981438,163.27397164669196,0
35.0,services,married,basic.9y,no,yes,yes,cellular,jul,wed,6,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,999.0,0,0.04428609302352761,117.02108346973523,0
,admin.,married,basic.6y,no,yes,no,cellular,apr,mon,1,999,0,nonexistent,-1.8,93.075,-47.1,1.466,5099.1,999.0,0,0.14080737172266844,364.2133908250137,1
30.0,technician,single,,no,yes,no,cellular,may,wed,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,999.0,0,0.09193242802781947,418.3920831640087,1
49.0,blue-collar,married,,unknown,no,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,999.0,0,0.02701418270173384,188.2873961331345,0
36.0,admin.,single,,no,yes,no,cellular,nov,wed,4,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,999.0,0,0.04834519981252732,418.1465252342816,0
,technician,single,,no,yes,no,cellular,may,mon,4,999,1,failure,-1.8,92.89299999999999,-46.2,1.354,5099.1,999.0,2,0.06429232757199653,433.94581653525734,0
,blue-collar,single,basic.9y,no,yes,no,telephone,jun,wed,21,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,999.0,0,0.030258838255641702,357.13768034710915,0
34.0,technician,married,,no,yes,yes,cellular,nov,thu,7,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,999.0,0,0.045081764243247065,130.67610003287086,0
31.0,technician,single,professional.course,no,yes,no,cellular,aug,fri,3,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,999.0,0,0.04363481532757998,384.07408942178813,0
35.0,technician,married,university.degree,no,yes,yes,cellular,sep,thu,3,999,0,nonexistent,-3.4,92.37899999999999,-29.8,0.743,5017.5,999.0,0,0.3739958273868444,120.91421169247951,1
,housemaid,married,unknown,no,yes,no,cellular,aug,fri,2,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,999.0,0,0.041117232387128916,423.3018072193761,0
33.0,admin.,married,high.school,no,yes,yes,telephone,may,thu,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,999.0,0,0.03163572570607591,147.65855424439155,0
,student,single,unknown,no,yes,no,cellular,may,wed,2,999,0,nonexistent,-1.8,93.876,-40.0,0.672,5008.7,999.0,0,0.5814512070797249,406.5272195480363,1
33.0,admin.,married,university.degree,unknown,no,no,cellular,aug,,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999.0,0,0.03168034006118791,160.59306880001395,0
23.0,technician,single,,no,no,no,telephone,jul,thu,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,999.0,0,0.04061593993759303,373.42101641150316,0
51.0,unemployed,married,basic.9y,unknown,yes,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,999.0,0,0.025117010768772485,212.5168731543397,0
,technician,married,,no,no,yes,cellular,aug,mon,5,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999.0,0,0.03837696326463291,125.21346482832155,0
27.0,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,0.02741523089199096,162.1401738008201,0
58.0,admin.,divorced,high.school,no,no,no,telephone,oct,thu,1,999,0,nonexistent,-0.1,93.79799999999999,-40.4,4.794,5195.8,999.0,0,0.17786951140101287,433.2840830661978,1
46.0,blue-collar,married,professional.course,no,no,no,telephone,may,thu,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,999.0,0,0.029451464082525077,382.8496136886754,0
31.0,blue-collar,single,,no,yes,no,cellular,jul,tue,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,999.0,0,0.05721009472499064,404.71076956091224,0
,admin.,single,university.degree,no,no,no,cellular,aug,thu,1,999,1,failure,-2.9,92.20100000000001,-31.4,0.883,5076.2,999.0,4,0.12303312622601857,387.44331458718557,1
28.0,admin.,single,university.degree,no,no,no,cellular,mar,fri,2,999,1,failure,-1.8,93.369,-34.8,0.636,5008.7,999.0,1,0.20230771106051865,379.31729217908196,1
40.0,blue-collar,married,basic.6y,unknown,no,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,999.0,0,0.03216305962453472,142.97217011979387,0
,blue-collar,single,basic.9y,no,yes,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,0.027197060712964585,386.5636529150827,0
30.0,unemployed,single,basic.9y,no,no,no,cellular,apr,wed,4,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,999.0,0,0.1876774718398686,401.3141512175953,1
,unknown,married,,no,no,no,telephone,jun,wed,9,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,999.0,0,0.041620578369470126,387.666409755471,0
38.0,admin.,divorced,university.degree,no,yes,no,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999.0,0,0.039481217038503214,356.8271261965317,0
42.0,unknown,single,,unknown,yes,no,cellular,jul,mon,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,999.0,0,0.04405722553709251,210.1538946512644,0
37.0,technician,single,,no,no,no,cellular,apr,,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999.0,0,0.1964185368945258,375.59057525701223,1
,services,married,university.degree,no,no,no,cellular,dec,wed,1,6,1,success,-3.0,92.713,-33.0,0.715,5023.5,0.2,5,0.7766762113475569,361.2273806527767,1
28.0,blue-collar,married,basic.9y,unknown,yes,yes,telephone,jul,tue,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,999.0,0,0.043213028226766106,-104.06564500171612,0
47.0,admin.,married,high.school,no,yes,no,cellular,apr,wed,2,999,1,failure,-1.8,93.075,-47.1,1.415,5099.1,999.0,3,0.09902286397460179,442.60640363767334,1
38.0,technician,married,university.degree,no,no,no,cellular,may,fri,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,999.0,1,0.06844379507539346,387.48225468238866,0
,management,married,unknown,no,no,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,999.0,0,0.03192502082506939,420.5265614277612,0
37.0,blue-collar,single,basic.4y,no,yes,no,cellular,apr,,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999.0,0,0.18866496552005718,403.62865125330063,1
37.0,technician,single,professional.course,no,yes,no,cellular,apr,mon,4,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999.0,0,0.18440325958583406,386.8198559829518,1
33.0,technician,single,,no,yes,no,cellular,aug,thu,14,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,999.0,0,0.04141262198276429,366.99728518435427,0
61.0,admin.,married,university.degree,unknown,yes,no,cellular,jun,wed,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,999.0,0,0.27368626858523704,187.74518881235122,1
24.0,student,married,university.degree,no,no,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,999.0,0,0.02574928881887914,370.28928738882564,0
35.0,technician,married,professional.course,no,no,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,999.0,0,0.03134381872599994,378.1414619810032,0
33.0,admin.,single,university.degree,no,yes,no,cellular,aug,wed,4,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,999.0,0,0.04608658246302746,369.84847148374024,0
38.0,admin.,married,,no,yes,no,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,999.0,0,0.032288179623671184,389.9459788385077,0
52.0,admin.,married,university.degree,no,yes,no,telephone,apr,thu,2,999,1,failure,-1.8,93.075,-47.1,1.435,5099.1,999.0,4,0.09686146496290851,393.7099903599426,1
55.0,entrepreneur,divorced,,no,yes,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,999.0,0,0.046881777077768146,449.2869476432736,0
32.0,technician,married,university.degree,no,yes,no,cellular,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,999.0,0,0.0411324579939788,373.9732519998745,0
45.0,entrepreneur,married,university.degree,no,yes,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,999.0,0,0.02751738191334089,385.800693927735,0
72.0,retired,divorced,university.degree,no,no,no,cellular,aug,tue,1,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.884,5076.2,999.0,0,0.3173659525370186,441.5526534675512,1
55.0,blue-collar,married,basic.9y,no,yes,no,telephone,may,wed,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,999.0,0,0.03412514740415107,404.6285279247825,0
,self-employed,married,university.degree,no,no,yes,cellular,dec,mon,1,999,0,nonexistent,-3.0,92.713,-33.0,0.706,5023.5,999.0,0,0.6531251325409453,182.87014626285145,1
28.0,admin.,single,high.school,no,yes,no,cellular,mar,tue,2,999,0,nonexistent,-1.8,92.84299999999999,-50.0,1.7990000000000002,5099.1,999.0,0,0.32515964420056376,417.07534719400246,1
,admin.,divorced,,no,unknown,unknown,telephone,jun,tue,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999.0,0,0.03864485112410542,426.90249104474947,0
45.0,blue-collar,married,,no,no,no,cellular,aug,fri,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,999.0,0,0.04148993869549166,378.02829953287596,0
,technician,single,basic.9y,no,yes,no,cellular,may,mon,6,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,999.0,0,0.06614461072266108,401.68987276843836,0
35.0,management,married,university.degree,no,unknown,unknown,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,999.0,0,0.03983822204318222,381.16774624436175,0
50.0,technician,single,,no,yes,yes,cellular,jun,thu,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,999.0,0,0.32692203763126443,129.59512524676188,1
48.0,blue-collar,divorced,,no,yes,no,cellular,nov,mon,1,999,1,failure,-0.1,93.2,-42.0,4.191,5195.8,999.0,1,0.03890551071472587,437.88557570285275,0
26.0,admin.,single,high.school,no,no,no,telephone,jun,tue,3,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,999.0,0,0.037984545873567435,390.06115617541195,0
32.0,technician,married,high.school,unknown,yes,no,cellular,aug,mon,4,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999.0,0,0.03823942277409368,210.67924577241797,0
42.0,blue-collar,married,basic.4y,no,no,no,telephone,may,tue,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.291,5099.1,999.0,0,0.06091628718561507,401.6893743246044,0
,student,single,high.school,no,no,no,telephone,oct,,1,999,0,nonexistent,-3.4,92.431,-26.9,0.74,5017.5,999.0,0,0.28100321552965674,497.33870465610426,1
