,custAge,profession,marital,schooling,housing,loan,contact,month,day_of_week,campaign,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,pmonths,pastEmail,responded,profit
28,35.0,10.0,2.0,0.0,1.0,0.0,1,5,2.0,3,0,0,1.1,93.994,-36.4,4.857,5191.0,999.0,0,0,0.0
29,34.0,10.0,1.0,0.0,1.0,0.0,1,5,3.0,3,0,0,-1.8,92.89299999999999,-46.2,1.334,5099.1,999.0,0,0,0.0
30,39.0,2.0,2.0,3.0,1.0,0.0,1,5,3.0,9,0,0,1.1,93.994,-36.4,4.857,5191.0,999.0,0,0,0.0
31,41.0,2.0,2.0,1.0,1.0,0.0,0,5,4.0,1,0,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,999.0,0,0,0.0
32,53.0,2.0,3.0,0.0,0.0,0.0,0,5,3.0,1,0,0,-1.8,92.89299999999999,-46.2,1.281,5099.1,999.0,0,0,0.0
33,52.0,1.0,2.0,7.0,1.0,0.0,1,4,4.0,2,1,1,-1.8,93.075,-47.1,1.435,5099.1,999.0,4,0,0.0
34,34.0,10.0,2.0,6.0,1.0,0.0,0,8,5.0,1,0,0,1.4,93.444,-36.1,4.966,5228.1,999.0,0,0,0.0
35,34.0,10.0,1.0,7.0,1.0,0.0,0,8,4.0,1,0,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,999.0,0,0,0.0
36,51.0,1.0,2.0,4.0,0.0,0.0,0,11,2.0,1,0,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,999.0,0,0,0.0
37,34.0,10.0,1.0,0.0,1.0,0.0,0,5,1.0,4,1,1,-1.8,92.89299999999999,-46.2,1.354,5099.1,999.0,2,0,0.0
38,26.0,9.0,1.0,0.0,1.0,0.0,0,8,1.0,1,0,0,-2.9,92.20100000000001,-31.4,0.861,5076.2,999.0,0,0,0.0
39,28.0,2.0,2.0,3.0,1.0,0.0,1,5,5.0,3,0,0,1.1,93.994,-36.4,4.859,5191.0,999.0,0,0,0.0
40,41.0,8.0,1.0,4.0,0.0,0.0,0,4,3.0,1,0,0,-1.8,93.075,-47.1,1.415,5099.1,999.0,0,0,0.0
41,37.0,1.0,3.0,0.0,0.0,1.0,0,5,2.0,1,0,0,-1.8,92.89299999999999,-46.2,1.344,5099.1,999.0,0,0,0.0
42,33.0,1.0,1.0,0.0,0.0,0.0,1,6,3.0,3,0,0,1.4,94.465,-41.8,4.962,5228.1,999.0,0,0,0.0
43,52.0,2.0,2.0,2.0,1.0,0.0,0,8,5.0,1,0,0,1.4,93.444,-36.1,4.966,5228.1,999.0,0,0,0.0
44,45.0,8.0,1.0,4.0,1.0,0.0,0,11,5.0,1,0,0,-0.1,93.2,-42.0,4.021,5195.8,999.0,0,0,0.0
45,56.0,10.0,2.0,0.0,1.0,0.0,0,11,5.0,6,0,0,-0.1,93.2,-42.0,4.021,5195.8,999.0,0,0,0.0
46,51.0,11.0,2.0,3.0,0.0,0.0,0,8,5.0,2,0,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,999.0,0,0,0.0
47,41.0,2.0,2.0,0.0,1.0,1.0,1,5,2.0,3,0,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,999.0,0,0,0.0
48,40.0,8.0,2.0,4.0,1.0,0.0,0,5,5.0,1,0,0,-1.8,92.89299999999999,-46.2,1.25,5099.1,999.0,0,0,0.0
49,40.0,10.0,2.0,0.0,0.0,0.0,1,6,4.0,1,0,0,1.4,94.465,-41.8,4.8660000000000005,5228.1,999.0,0,0,0.0
50,80.0,6.0,2.0,1.0,0.0,0.0,0,8,3.0,4,0,0,-2.9,92.20100000000001,-31.4,0.8540000000000001,5076.2,999.0,0,0,0.0
51,33.0,1.0,1.0,0.0,1.0,0.0,0,8,4.0,1,0,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,999.0,0,0,0.0
52,41.0,10.0,2.0,6.0,1.0,0.0,1,6,3.0,3,0,0,1.4,94.465,-41.8,4.959,5228.1,999.0,0,0,0.0
53,63.0,6.0,2.0,7.0,0.0,1.0,0,8,2.0,1,0,0,1.4,93.444,-36.1,4.966,5228.1,999.0,0,0,0.0
54,38.0,2.0,2.0,1.0,1.0,0.0,0,5,3.0,3,0,0,-1.8,92.89299999999999,-46.2,1.281,5099.1,999.0,0,0,0.0
55,37.0,7.0,2.0,0.0,0.0,0.0,1,6,2.0,1,0,0,1.4,94.465,-41.8,4.961,5228.1,999.0,0,0,0.0
56,41.0,2.0,2.0,3.0,0.0,0.0,0,5,3.0,4,0,0,-1.8,92.89299999999999,-46.2,1.281,5099.1,999.0,0,0,0.0
57,23.0,1.0,1.0,6.0,0.0,0.0,0,7,3.0,1,0,0,1.4,93.91799999999999,-42.7,4.963,5228.1,999.0,0,0,0.0
58,43.0,1.0,3.0,7.0,1.0,0.0,1,5,2.0,1,0,0,1.1,93.994,-36.4,4.857,5191.0,999.0,0,0,0.0
59,33.0,1.0,1.0,7.0,1.0,0.0,0,8,1.0,1,2,1,-2.9,92.20100000000001,-31.4,0.861,5076.2,999.0,8,0,0.0
60,28.0,2.0,2.0,3.0,1.0,1.0,1,7,2.0,4,0,0,1.4,93.91799999999999,-42.7,4.961,5228.1,999.0,0,0,0.0
61,41.0,11.0,1.0,4.0,0.0,0.0,0,7,3.0,1,0,0,1.4,93.91799999999999,-42.7,4.962,5228.1,999.0,0,0,0.0
62,41.0,2.0,2.0,1.0,1.0,0.0,0,8,4.0,1,0,0,1.4,93.444,-36.1,4.968,5228.1,999.0,0,0,0.0
63,52.0,8.0,3.0,1.0,1.0,0.0,0,6,2.0,1,0,0,-2.9,92.963,-40.8,1.262,5076.2,999.0,0,0,0.0
64,41.0,2.0,2.0,3.0,1.0,0.0,1,5,4.0,5,0,0,1.1,93.994,-36.4,4.86,5191.0,999.0,0,0,0.0
65,29.0,8.0,2.0,4.0,1.0,0.0,0,11,4.0,4,0,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,999.0,0,0,0.0
66,50.0,5.0,2.0,2.0,0.0,0.0,0,4,5.0,4,0,0,-1.8,93.075,-47.1,1.405,5099.1,999.0,0,0,0.0
67,38.0,1.0,2.0,7.0,0.0,0.0,1,5,2.0,6,0,0,-1.8,92.89299999999999,-46.2,1.344,5099.1,999.0,0,0,0.0
68,38.0,10.0,1.0,7.0,1.0,0.0,1,6,3.0,3,0,0,-2.9,92.963,-40.8,1.26,5076.2,999.0,0,0,0.0
69,31.0,1.0,2.0,0.0,0.0,0.0,0,8,4.0,1,0,0,1.4,93.444,-36.1,4.968,5228.1,999.0,0,0,0.0
70,35.0,9.0,1.0,4.0,1.0,1.0,1,5,1.0,1,0,0,1.1,93.994,-36.4,4.857,5191.0,999.0,0,0,0.0
71,53.0,1.0,2.0,0.0,0.0,0.0,0,7,4.0,8,0,0,1.4,93.91799999999999,-42.7,4.968,5228.1,999.0,0,0,0.0
72,41.0,2.0,2.0,0.0,1.0,0.0,0,11,3.0,5,0,0,-0.1,93.2,-42.0,4.12,5195.8,999.0,0,0,0.0
73,57.0,7.0,2.0,0.0,0.0,1.0,1,5,2.0,2,0,0,1.1,93.994,-36.4,4.856,5191.0,999.0,0,0,0.0
74,94.0,6.0,2.0,3.0,0.0,0.0,0,11,3.0,1,1,1,-3.4,92.649,-30.1,0.716,5017.5,999.0,4,0,0.0
75,42.0,2.0,1.0,0.0,1.0,0.0,0,7,1.0,3,0,0,1.4,93.91799999999999,-42.7,4.962,5228.1,999.0,0,0,0.0
76,30.0,10.0,1.0,0.0,1.0,0.0,0,5,3.0,3,0,0,-1.8,92.89299999999999,-46.2,1.281,5099.1,999.0,0,0,0.0
77,63.0,6.0,2.0,4.0,1.0,0.0,0,11,1.0,1,0,0,-0.1,93.2,-42.0,4.191,5195.8,999.0,0,0,0.0
78,33.0,1.0,1.0,4.0,1.0,1.0,0,5,3.0,4,0,0,-1.8,92.89299999999999,-46.2,1.281,5099.1,999.0,0,0,0.0
79,35.0,1.0,1.0,7.0,1.0,1.0,0,4,4.0,1,1,1,-1.8,93.075,-47.1,1.365,5099.1,999.0,1,0,0.0
80,40.0,1.0,2.0,3.0,1.0,0.0,0,5,2.0,1,1,1,-1.8,92.89299999999999,-46.2,1.266,5099.1,999.0,1,0,0.0
81,35.0,10.0,3.0,7.0,1.0,0.0,0,5,2.0,1,0,0,-1.8,92.89299999999999,-46.2,1.291,5099.1,999.0,0,0,0.0
82,31.0,10.0,2.0,0.0,1.0,0.0,0,8,4.0,3,0,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,999.0,0,0,0.0
83,50.0,5.0,3.0,4.0,0.0,0.0,0,7,2.0,1,0,0,1.4,93.91799999999999,-42.7,4.961,5228.1,999.0,0,0,0.0
84,46.0,10.0,3.0,6.0,0.0,0.0,0,7,2.0,3,0,0,1.4,93.91799999999999,-42.7,4.961,5228.1,999.0,0,0,0.0
85,30.0,2.0,2.0,3.0,0.0,0.0,1,6,4.0,29,0,0,1.4,94.465,-41.8,4.8660000000000005,5228.1,999.0,0,0,0.0
86,34.0,2.0,2.0,0.0,1.0,1.0,1,5,4.0,1,0,0,1.1,93.994,-36.4,4.855,5191.0,999.0,0,0,0.0
87,33.0,3.0,2.0,7.0,1.0,0.0,0,5,3.0,2,1,1,-1.8,92.89299999999999,-46.2,1.334,5099.1,999.0,2,0,0.0
88,33.0,2.0,1.0,3.0,1.0,0.0,0,7,2.0,6,0,0,1.4,93.91799999999999,-42.7,4.961,5228.1,999.0,0,0,0.0
89,40.0,5.0,2.0,0.0,0.0,0.0,1,5,2.0,1,0,0,1.1,93.994,-36.4,4.857,5191.0,999.0,0,0,0.0
90,30.0,9.0,1.0,0.0,1.0,0.0,1,5,1.0,2,0,0,1.1,93.994,-36.4,4.857,5191.0,999.0,0,0,0.0
91,34.0,10.0,2.0,7.0,1.0,0.0,0,8,5.0,3,0,0,-2.9,92.20100000000001,-31.4,0.825,5076.2,999.0,0,0,0.0
92,34.0,10.0,1.0,6.0,1.0,0.0,0,4,1.0,3,0,0,-1.8,93.075,-47.1,1.405,5099.1,999.0,0,0,0.0
93,55.0,3.0,3.0,0.0,1.0,0.0,0,7,3.0,1,0,0,1.4,93.91799999999999,-42.7,4.963,5228.1,999.0,0,0,0.0
94,52.0,5.0,2.0,7.0,1.0,1.0,0,7,1.0,1,0,0,1.4,93.91799999999999,-42.7,4.96,5228.1,999.0,0,0,0.0
95,46.0,4.0,2.0,0.0,1.0,0.0,0,8,5.0,1,0,0,-2.9,92.20100000000001,-31.4,0.8809999999999999,5076.2,999.0,0,0,0.0
96,63.0,6.0,2.0,7.0,1.0,0.0,0,8,1.0,1,0,0,-2.9,92.20100000000001,-31.4,0.843,5076.2,999.0,0,0,0.0
97,30.0,2.0,2.0,3.0,1.0,0.0,1,6,5.0,1,0,0,1.4,94.465,-41.8,4.967,5228.1,999.0,0,0,0.0
98,41.0,10.0,3.0,6.0,1.0,0.0,0,8,3.0,4,0,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,999.0,0,0,0.0
99,50.0,3.0,2.0,0.0,1.0,1.0,0,7,2.0,1,0,0,1.4,93.91799999999999,-42.7,4.962,5228.1,999.0,0,0,0.0
100,41.0,1.0,2.0,7.0,1.0,0.0,0,7,3.0,1,1,1,-2.9,92.469,-33.6,1.0290000000000001,5076.2,999.0,2,0,0.0
101,41.0,2.0,2.0,3.0,1.0,0.0,1,5,2.0,3,0,0,1.1,93.994,-36.4,4.856,5191.0,999.0,0,0,0.0
102,32.0,1.0,2.0,4.0,0.0,0.0,1,6,3.0,1,0,0,1.4,94.465,-41.8,4.962,5228.1,999.0,0,0,0.0
103,43.0,5.0,2.0,0.0,1.0,1.0,0,4,2.0,8,0,0,-1.8,93.075,-47.1,1.423,5099.1,999.0,0,0,0.0
104,39.0,8.0,2.0,4.0,1.0,1.0,0,5,2.0,1,0,0,-1.8,92.89299999999999,-46.2,1.344,5099.1,999.0,0,0,0.0
105,47.0,2.0,2.0,0.0,1.0,0.0,1,5,4.0,3,0,0,1.1,93.994,-36.4,4.855,5191.0,999.0,0,0,0.0
106,43.0,1.0,3.0,4.0,1.0,0.0,0,8,3.0,6,0,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,999.0,0,0,0.0
107,40.0,8.0,2.0,4.0,0.0,1.0,1,6,3.0,1,0,0,1.4,94.465,-41.8,4.962,5228.1,999.0,0,0,0.0
108,35.0,2.0,1.0,1.0,0.0,0.0,0,7,1.0,4,0,0,1.4,93.91799999999999,-42.7,4.96,5228.1,999.0,0,0,0.0
109,35.0,5.0,1.0,7.0,0.0,1.0,0,11,1.0,1,0,0,-0.1,93.2,-42.0,4.191,5195.8,999.0,0,0,0.0
110,49.0,1.0,3.0,4.0,1.0,0.0,1,6,1.0,5,0,0,1.4,94.465,-41.8,4.865,5228.1,999.0,0,0,0.0
111,32.0,8.0,2.0,1.0,0.0,0.0,0,11,1.0,1,0,0,-0.1,93.2,-42.0,4.191,5195.8,999.0,0,0,0.0
112,41.0,2.0,2.0,0.0,1.0,0.0,0,8,1.0,6,0,0,1.4,93.444,-36.1,4.965,5228.1,999.0,0,0,0.0
113,32.0,1.0,1.0,7.0,0.0,0.0,0,7,1.0,2,0,0,1.4,93.91799999999999,-42.7,4.962,5228.1,999.0,0,0,0.0
114,33.0,2.0,1.0,0.0,1.0,1.0,1,6,1.0,3,0,0,1.4,94.465,-41.8,4.96,5228.1,999.0,0,0,0.0
115,33.0,1.0,2.0,7.0,0.0,0.0,0,11,3.0,1,1,1,-0.1,93.2,-42.0,4.12,5195.8,999.0,5,0,0.0
116,44.0,7.0,2.0,4.0,0.0,0.0,0,8,2.0,3,0,0,1.4,93.444,-36.1,4.963,5228.1,999.0,0,0,0.0
117,35.0,10.0,1.0,0.0,1.0,0.0,1,5,3.0,1,0,0,1.1,93.994,-36.4,4.857,5191.0,999.0,0,0,0.0
118,34.0,10.0,3.0,0.0,1.0,1.0,0,7,4.0,4,0,0,1.4,93.91799999999999,-42.7,4.968,5228.1,999.0,0,0,0.0
119,43.0,2.0,2.0,3.0,0.0,0.0,0,5,5.0,1,0,0,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,999.0,0,0,0.0
120,35.0,10.0,2.0,6.0,0.0,0.0,1,5,3.0,1,0,0,1.1,93.994,-36.4,4.859,5191.0,999.0,0,0,0.0
121,35.0,5.0,1.0,7.0,1.0,0.0,0,8,1.0,2,0,0,1.4,93.444,-36.1,4.97,5228.1,999.0,0,0,0.0
122,53.0,2.0,2.0,1.0,0.0,0.0,1,5,3.0,2,0,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,999.0,0,0,0.0
123,45.0,2.0,2.0,1.0,0.0,0.0,1,7,2.0,3,0,0,1.4,93.91799999999999,-42.7,4.961,5228.1,999.0,0,0,0.0
124,43.0,5.0,2.0,0.0,1.0,0.0,0,7,4.0,1,0,0,1.4,93.91799999999999,-42.7,4.957,5228.1,999.0,0,0,0.0
125,40.0,1.0,2.0,4.0,1.0,0.0,0,8,5.0,1,0,0,1.4,93.444,-36.1,4.966,5228.1,999.0,0,0,0.0
126,31.0,5.0,1.0,7.0,1.0,0.0,0,11,4.0,1,0,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,999.0,0,0,0.0
127,44.0,2.0,2.0,0.0,0.0,0.0,1,6,2.0,5,0,0,1.4,94.465,-41.8,4.864,5228.1,999.0,0,0,0.0
128,40.0,1.0,2.0,4.0,1.0,0.0,0,4,5.0,2,0,0,-1.8,93.075,-47.1,1.405,5099.1,999.0,0,0,0.0
129,44.0,1.0,1.0,7.0,0.0,0.0,1,6,4.0,2,0,0,1.4,94.465,-41.8,4.958,5228.1,999.0,0,0,0.0
130,40.0,11.0,2.0,0.0,1.0,0.0,0,7,4.0,6,0,0,1.4,93.91799999999999,-42.7,4.958,5228.1,999.0,0,0,0.0
131,31.0,5.0,1.0,7.0,1.0,1.0,0,5,1.0,1,0,0,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,999.0,0,0,0.0
132,44.0,7.0,2.0,7.0,1.0,0.0,1,7,4.0,27,0,0,1.4,93.91799999999999,-42.7,4.963,5228.1,999.0,0,0,0.0
133,43.0,2.0,3.0,2.0,1.0,0.0,0,5,3.0,1,1,1,-1.8,92.89299999999999,-46.2,1.334,5099.1,999.0,1,0,0.0
134,41.0,2.0,2.0,3.0,0.0,0.0,0,3,5.0,2,0,0,-1.8,93.369,-34.8,0.636,5008.7,999.0,0,0,0.0
135,29.0,1.0,1.0,4.0,1.0,0.0,0,5,1.0,1,0,0,-1.8,92.89299999999999,-46.2,1.244,5099.1,999.0,0,0,0.0
136,30.0,8.0,2.0,4.0,1.0,0.0,0,11,3.0,4,1,1,-0.1,93.2,-42.0,4.12,5195.8,999.0,1,0,0.0
137,33.0,1.0,1.0,4.0,0.0,0.0,0,5,5.0,2,1,1,-1.8,92.89299999999999,-46.2,1.25,5099.1,999.0,6,0,0.0
138,33.0,3.0,2.0,7.0,0.0,0.0,0,7,1.0,2,0,0,1.4,93.91799999999999,-42.7,4.962,5228.1,999.0,0,0,0.0
139,53.0,3.0,2.0,1.0,1.0,0.0,0,8,5.0,1,0,0,1.4,93.444,-36.1,4.963,5228.1,999.0,0,0,0.0
140,37.0,5.0,2.0,0.0,0.0,0.0,0,11,4.0,2,1,1,-0.1,93.2,-42.0,4.0760000000000005,5195.8,999.0,3,0,0.0
141,33.0,5.0,1.0,7.0,0.0,0.0,0,7,4.0,2,0,0,1.4,93.91799999999999,-42.7,4.958,5228.1,999.0,0,0,0.0
142,34.0,1.0,1.0,7.0,1.0,0.0,0,7,2.0,2,0,0,1.4,93.91799999999999,-42.7,4.961,5228.1,999.0,0,0,0.0
143,41.0,1.0,2.0,7.0,1.0,0.0,0,8,3.0,2,0,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,999.0,0,0,0.0
144,24.0,2.0,2.0,3.0,1.0,0.0,0,10,5.0,1,0,0,-3.4,92.431,-26.9,0.72,5017.5,999.0,0,0,0.0
145,36.0,1.0,2.0,7.0,0.0,0.0,0,8,3.0,2,0,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,999.0,0,0,0.0
146,45.0,1.0,2.0,0.0,0.0,0.0,1,6,1.0,4,0,0,1.4,94.465,-41.8,4.961,5228.1,999.0,0,0,0.0
147,40.0,1.0,2.0,4.0,1.0,0.0,1,5,2.0,1,0,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,999.0,0,0,0.0
148,51.0,1.0,3.0,7.0,1.0,1.0,0,11,4.0,2,0,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,999.0,0,0,0.0
149,41.0,2.0,2.0,0.0,1.0,0.0,0,8,3.0,1,0,0,1.4,93.444,-36.1,4.967,5228.1,999.0,0,0,0.0
150,36.0,8.0,1.0,4.0,0.0,0.0,0,7,1.0,2,0,0,1.4,93.91799999999999,-42.7,4.962,5228.1,999.0,0,0,0.0
151,58.0,2.0,2.0,0.0,0.0,1.0,1,6,4.0,1,0,0,1.4,94.465,-41.8,4.8660000000000005,5228.1,999.0,0,0,0.0
152,51.0,10.0,2.0,6.0,1.0,0.0,1,6,5.0,1,0,0,1.4,94.465,-41.8,4.967,5228.1,999.0,0,0,0.0
153,43.0,1.0,3.0,0.0,0.0,1.0,1,5,5.0,1,0,0,1.1,93.994,-36.4,4.855,5191.0,999.0,0,0,0.0
154,38.0,2.0,3.0,1.0,0.0,0.0,0,11,4.0,2,0,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,999.0,0,0,0.0
155,36.0,1.0,1.0,0.0,1.0,0.0,0,11,3.0,4,0,0,-0.1,93.2,-42.0,4.12,5195.8,999.0,0,0,0.0
156,29.0,1.0,2.0,4.0,0.0,0.0,1,5,3.0,1,0,0,-1.8,93.876,-40.0,0.69,5008.7,999.0,0,0,0.0
157,32.0,1.0,1.0,0.0,0.0,0.0,0,8,3.0,3,0,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,999.0,0,0,0.0
158,38.0,1.0,2.0,0.0,1.0,0.0,1,5,5.0,2,0,0,1.1,93.994,-36.4,4.859,5191.0,999.0,0,0,0.0
159,40.0,7.0,2.0,0.0,0.0,0.0,0,11,3.0,1,0,0,-0.1,93.2,-42.0,4.12,5195.8,999.0,0,0,0.0
160,45.0,10.0,2.0,7.0,0.0,0.0,1,6,1.0,3,0,0,1.4,94.465,-41.8,4.865,5228.1,999.0,0,0,0.0
161,25.0,9.0,1.0,4.0,0.0,0.0,1,5,1.0,6,0,0,-1.8,92.89299999999999,-46.2,1.244,5099.1,999.0,0,0,0.0
162,33.0,1.0,1.0,4.0,1.0,0.0,0,4,5.0,1,1,1,-1.8,93.075,-47.1,1.405,5099.1,999.0,0,0,0.0
163,28.0,8.0,2.0,4.0,1.0,0.0,1,7,4.0,4,0,0,1.4,93.91799999999999,-42.7,4.968,5228.1,999.0,0,0,0.0
164,40.0,10.0,2.0,7.0,1.0,0.0,0,7,4.0,1,0,0,-2.9,92.469,-33.6,1.072,5076.2,999.0,0,0,0.0
165,39.0,1.0,2.0,0.0,1.0,1.0,0,8,5.0,3,0,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,999.0,0,0,0.0
166,42.0,2.0,2.0,0.0,1.0,0.0,1,5,1.0,5,0,0,1.1,93.994,-36.4,4.857,5191.0,999.0,0,0,0.0
167,26.0,3.0,1.0,4.0,1.0,0.0,0,5,1.0,2,0,0,-1.8,92.89299999999999,-46.2,1.244,5099.1,999.0,0,0,0.0
168,46.0,4.0,2.0,1.0,0.0,0.0,1,5,2.0,2,0,0,1.1,93.994,-36.4,4.857,5191.0,999.0,0,0,0.0
169,35.0,10.0,1.0,6.0,0.0,1.0,0,8,5.0,4,0,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,999.0,0,0,0.0
170,30.0,8.0,2.0,0.0,0.0,0.0,1,5,1.0,3,0,0,1.1,93.994,-36.4,4.857,5191.0,999.0,0,0,0.0
171,30.0,1.0,1.0,7.0,1.0,0.0,0,8,4.0,1,0,0,1.4,93.444,-36.1,4.963,5228.1,999.0,0,0,0.0
172,32.0,8.0,1.0,0.0,0.0,0.0,1,5,3.0,1,0,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,999.0,0,0,0.0
173,37.0,2.0,3.0,3.0,1.0,1.0,0,4,5.0,1,0,0,-1.8,93.075,-47.1,1.405,5099.1,999.0,0,0,0.0
174,30.0,2.0,2.0,2.0,1.0,0.0,0,7,3.0,1,0,0,1.4,93.91799999999999,-42.7,4.962,5228.1,999.0,0,0,0.0
175,33.0,2.0,1.0,3.0,1.0,0.0,0,5,4.0,1,0,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,999.0,0,0,0.0
176,36.0,1.0,1.0,7.0,0.0,0.0,0,7,4.0,40,0,0,1.4,93.91799999999999,-42.7,4.968,5228.1,999.0,0,0,0.0
177,31.0,2.0,2.0,0.0,0.0,0.0,0,7,3.0,2,0,0,1.4,93.91799999999999,-42.7,4.963,5228.1,999.0,0,0,0.0
178,40.0,1.0,2.0,0.0,1.0,0.0,0,8,3.0,1,0,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,999.0,0,0,0.0
